1869 2043 1891 1963 1954 1903 1861 1893 2022 2000 1836 1887 1909 2054 1981 1868 2028 1950 1951 1883 1848 1979 1992 2003 2021 1855 1860 1925 1919 1940 1906 1973 1975 2007 1898 2015 2014 1941 1895 1925 1943 1931 1901 1950 1958 1914 2047 1978 1929 1867 1912 1945 1919 1818 1864 1959 2007 1916 1906 1927 1903 2013 2017 1934 1847 1993 1984 1918 1953 1941 1994 1998 1846 1851 2006 1907 1869 1848 1957 1987 1941 1960 1853 1903 1948 1907 1857 1828 1962 1896 1865 1967 1836 2015 1882 1901 2034 1866 1975 1831 1847 1933 1957 1843 1956 1892 1914 1951 1992 1981 1890 1876 1957 1855 1869 1911 2039 1984 1832 1930 1839 2002 2278 1671 2031 1864 727 1058 2446 1634 2513 1026 1844 1565 1999 1839 1918 1900 1912 1927 2019 1943 1819 1975 1858 1903 1900 1869 1818 1981 1964 1871 1919 1987 2014 1936 1997 1915 1895 1833 1920 1846 1989 2001 1929 1823 1957 1960 1931 1878 1916 1934 2002 1971 1820 1933 1920 1923 1991 1859 1930 1993 2007 1907 1947 1956 1939 1928 1933 1838 1970 1922 1868 1939 1892 1951 1935 1921 1917 1933 1918 1924 1919 1999 1831 2029 1998 1866 1914 1932 1828 1901 1899 1961 1944 1835 2005 1850 1719 1970 1791 1900 1979 1872 1916 1848 1766 1937 1914 2012 1915 1815 1987 1962 1807 1924 1781 2093 1891 2072 1810 2488 2136 2304 1327 2120 1583 1290 4027 3421 0 4027 0 4026 0 2390
1842 1858 1771 1834 1795 2046 2031 1768 1836 1667 1673 1881 2027 1939 2220 2109 1912 1899 2008 1901 1851 1882 2025 1837 2028 2080 1843 1736 1963 1878 1783 1719 1743 2027 1820 1830 1994 2192 1883 1893 1925 2005 1802 1945 1983 1864 1903 1623 1667 1544 1588 3001 2283 1215 3154 3265 1934 4026 4026 2279 1967 142 0 3303 2336 1315 1720 0 2307 0 4025 1984 193 2609 1697 715 4027 2598 785 482 1930 2262 1905 1888 1741 2075 1923 1674 2323 2852 2507 2304 1775 1817 1667 1854 1890 1944 2091 1972 1743 1941 1869 1657 1881 1800 1935 1948 1797 2031 1938 1947 1843 1878 1901 1857 1780 1866 1900 1980 1912 1898 2028 1851 1897 1766 1969 1982 2002 2005 1676 1915 2120 2011 2058 1707 1601 2467 3195 2317 1956 1825 2885 3169 2539 297 0 1563 1882 2068 0 2645 4027 743 846 2568 3583 4028 0 0 0 1311 4027 4028 2483 854 570 911 1336 1991 2561 2255 1849 1897 1935 1725 1992 2211 2213 1859 2060 1824 1709 1947 1883 1819 2011 1885 1960 1955 1878 1946 1766 2129 2031 1515 1736 2057 2262 2060 2105 2138 1892 1979 2042 1919 1941 1963 1887 1958 1929 1844 1880 1945 1870 1921 1937 1949 1862 1959 1990 1920 1814 1783 1888 1930 1903 2008 1910 1905 1881 1903 1949 1979 2023 1876 1859 1955 1986 1883 1927 1800 1931 1931 1810 1908 1861 1925 1966 1935 1812 1895 1866 2082 1978 1938
1907 1934 1966 1973 2108 2019 1861 1847 1931 2056 1871 2033 2014 1857 1962 1985 1808 1879 1826 1962 2028 1994 1953 1967 1890 1957 2074 2039 1917 1851 1933 2061 1954 1847 1875 1871 1993 2023 1949 1917 1924 1885 2018 1922 1876 1926 1912 1929 1944 1836 1931 1965 1986 1851 1893 1887 1878 1876 1978 1959 1903 1885 2089 1976 1962 1890 1869 1872 1962 1956 1968 1854 1843 1973 1830 1898 1929 1925 1996 1880 1949 1891 1937 1919 1913 1900 1868 1914 1970 1855 1845 1866 1999 2079 2043 1826 1812 1931 1926 1947 1925 1906 1939 1938 2005 1770 2016 1883 1868 1834 1873 1890 1864 1995 1894 1939 1931 1915 1911 1879 1945 2006 1987 1915 1865 1860 2059 1899 1781 1859 1957 1922 1907 1948 1767 1934 1960 1932 1942 1959 1887 1929 1905 1967 1873 1836 1938 1994 1975 1885 1712 1931 2091 2065 1699 1930 2003 1634 1766 2065 1831 1675 2135 2002 1827 1896 1786 2039 2021 1782 1874 1878 1884 1938 1994 1922 1959 1877 1870 1992 1901 1985 2249 1696 2467 1668 239 1071 2364 0 2387 4027 0 0 4026 0 2284 0 4027 0 3362 0 3805 0 4027 755 0 4031 1498 0 4026 3037 0 2250 989 1730 1779 1962 1577 2031 1938 1954 1806 1926 1981 2075 1768 1881 1901 1793 1835 1956 1868 2037 1900 1866 1891 1845 1859 1967 1658 1871 2021 1674 2072 1952 1902 1983 1831 1905 1922 2014 1887 2043 1875 2083
1820 1843 1969 1890 1999 2075 1803 1785 1819 1958 1971 1906 1969 2103 2052 1835 1963 1959 1839 2054 1963 1963 2114 1926 1907 1903 1833 1988 1826 1929 1950 1970 1988 1805 1905 1993 1878 1895 1971 1905 1952 1960 1838 1967 1999 2082 1714 1898 1433 1216 3437 3968 1882 1964 3973 2272 3853 2719 3092 4028 1675 1779 1567 4005 4028 736 1535 0 2670 288 0 0 4028 1100 2688 1909 716 2377 2263 1739 1853 1847 1607 2168 1940 1842 1846 1971 1993 1939 1940 2012 2012 1876 1943 1946 1952 1992 1859 1832 2053 2006 1934 1883 1960 1895 1906 1839 1944 1903 2003 1851 1928 2007 2000 1843 1925 1860 1967 1897 2043 1884 1899 2047 1844 2016 1986 1953 2029 1959 60 0 2066 1938 2135 954 3681 1282 58 0 759 1497 1563 2159 2103 1601 1699 1748 2336 2301 2323 2450 2321 1979 1639 1876 2063 1962 1865 1799 1938 2202 2006 1897 1855 1770 2002 2004 1953 1910 1935 1869 1750 1885 2026 1876 1991 2056 1989 1950 1995 1900 1946 1899 1924 1859 1897 1904 1982 1884 1965 2026 1866 1988 1854 1983 1955 1903 1845 1880 2059 2007 1813 1876 1911 1947 1924 1839 1940 1757 2047 1950 1955 1983 1983 1960 1810 1851 2121 1582 1709 1903 1397 1155 1588 2085 1669 962 525 1487 1747 1796 2404 962 632 3800 950 1757 1972 2255 2292 1787 638 2091 3801 4030 2324 456 287 886 1267 1277 1176 1976 2128 2081
1888 1979 1963 1839 1834 1863 1967 1997 1820 1970 2024 1978 1973 1919 1924 1853 1888 1905 1938 1898 1969 1911 1866 1894 1933 1905 1960 1955 1894 1974 1919 1920 1880 1901 1916 1923 1907 1950 1855 2058 2049 2025 1871 1832 1958 1949 1982 1908 1825 2014 2064 1963 1817 1911 1907 1877 1948 1933 1971 1893 1908 1886 1909 1917 1935 1884 1873 1965 1956 1838 1868 1978 1818 1963 1844 1889 1874 2054 1938 1851 1950 1928 1877 1931 1975 1965 1937 1880 1816 1957 1900 1871 1926 2037 1988 1956 1876 1784 1926 1965 2003 1941 1949 1926 1878 1883 1811 1867 1970 1995 1832 1896 1915 1914 2021 1901 1949 1844 1979 1950 1853 2007 1922 1848 1894 1870 1867 1875 1909 1873 1964 1972 1939 1988 1851 1886 1948 1999 1921 1826 1909 1929 1963 1999 1862 1935 1991 1984 1945 1893 1984 1958 1995 1983 1856 1899 1999 1986 1971 1919 1885 1926 1967 2007 1862 1906 1886 1924 1901 1960 1898 1830 1909 1884 1891 2024 1928 1953 1844 1927 1953 1885 1955 1914 1903 1859 1904 2081 1735 1535 2627 1373 2511 1487 3394 0 723 4029 1668 4029 3205 0 2798 0 2342 4027 1364 3527 0 4027 4030 1168 4026 938 4028 4030 0 3286 2062 0 3554 0 3505 1016 1048 1281 1847 1776 1815 1982 2069 1897 1839 1758 2056 1991 2083 2031 1930 1847 1927 1923 1935 1854 1973 1931 1927 1938 1850 1975 1913 2027 1887 1948 1875 1941
1981 1985 1941 1973 1937 1908 1921 1887 1967 1950 1925 1898 1857 1912 1877 1839 1853 2037 1955 1897 1983 1919 1991 1907 1999 1871 1930 1939 1871 1887 1949 1890 1893 1924 1967 1967 1853 1798 2024 1903 1994 1868 1877 1848 1878 1779 1942 1879 1967 2438 2660 3994 2102 1150 0 747 0 1344 4027 0 4026 0 4025 4025 0 1816 0 0 4027 3407 795 3657 1530 647 4019 4039 0 4027 983 4027 1896 2261 1985 1511 2533 1270 1793 1900 1831 2083 1901 1894 1757 1954 1932 1717 2091 1999 1834 1896 2116 1753 2033 1821 1997 1946 1797 1919 1946 1870 1952 1837 1857 2007 2031 1884 1775 1993 1940 1854 1909 1891 1935 2018 1876 1864 2033 1983 1913 1897 1895 1925 1827 1949 1851 1807 1926 1967 2001 2101 1958 1939 1975 1935 2030 1923 1986 1805 1891 1858 1920 1871 1950 1825 1930 1917 1890 1914 1896 1983 1933 1949 1903 1861 2072 1914 1982 1738 2061 1835 2266 2345 1225 2854 4028 2923 2728 800 0 4042 0 4027 0 0 4026 0 4026 4028 4029 4030 2696 0 3389 0 792 4025 0 4025 4028 4028 0 0 2291 2669 907 2363 2280 1134 2202 1607 1784 2141 1679 2253 1922 1995 2030 1925 1821 2023 1989 1925 1804 1948 1889 1803 1852 1858 1896 1825 1799 1864 1687 1980 1811 1984 1988 1933 1955 1861 1907 2008 1937 1772 1975 2031 1854 1987 1937 2003 2141 1850 1867 1936 2006 2040
1863 1847 1985 1987 1867 1891 2009 1954 1927 2052 1902 2148 1891 1897 1793 1954 1910 1986 1830 2167 1701 869 2213 2885 0 4027 0 2742 4030 0 0 4028 0 4023 4030 0 4029 4026 0 4023 3048 0 2090 4027 1429 4024 4023 0 0 1709 1641 2092 2202 1775 1835 1331 1859 1800 1865 1707 2033 1819 1717 2005 1853 2084 1861 1898 2056 1857 1807 1783 1649 2105 1938 1978 1919 2080 1892 1903 1819 1924 1994 1847 2031 1811 1868 2012 1919 1963 1823 2056 1929 1912 1941 1803 2007 1827 1770 2043 1914 2021 1765 1839 1917 1967 1971 1925 1870 1863 1957 1899 1827 1894 1928 1955 1785 1914 1917 1786 2119 2024 1917 1743 2055 1718 2203 1924 1926 1953 1937 1941 1830 1899 1717 2044 3034 1805 2148 694 3000 0 297 1730 4026 0 4026 0 4028 4028 0 4027 1725 4025 0 4027 4023 1832 4028 601 0 4029 0 0 0 173 1862 372 2353 1477 1405 1261 2180 1574 2368 2054 1759 2027 1577 1975 2305 1726 1979 1939 1985 1714 1828 1905 2069 1950 2039 1839 1824 1789 1944 1915 1846 1921 2039 1866 1991 1879 1811 1883 1890 1977 1867 1947 1925 1933 1897 1878 1875 2044 1885 1976 1980 1902 1832 1958 1915 1922 1919 1959 1938 1844 2007 1895 1831 1928 1777 1914 1908 2022 1891 2029 1924 1947 1884 1873 1904 1848 2005 1920 1862 1879 1910 2011 1949 1859 1867 1909 2022 1935 1864 1824
2568 2286 1467 2150 0 1927 2414 0 0 4021 0 4031 0 4027 4030 1993 1745 0 4026 3640 0 0 0 0 1921 0 4027 0 3017 4042 1828 1766 1161 2065 1940 1845 1519 2503 1839 1738 2361 1739 1824 2138 1913 2095 1490 1881 2011 1868 2015 1850 2075 1792 1922 1787 1874 2070 1972 1920 1911 1847 1943 1947 1978 1891 1918 1870 1957 2021 1937 1907 1987 1947 2031 1996 1760 1727 1838 1883 1876 1962 2069 2050 2144 1965 1943 2046 2008 1805 1835 1918 1791 1844 1861 1821 1628 1839 1763 1898 1890 1957 1912 1971 1919 1988 1989 2038 1995 1982 1883 1969 1940 1911 1775 1831 1893 1915 2029 1967 1957 1983 1931 1828 1981 1993 1925 1950 2011 2043 1955 1999 1871 1803 1908 1837 1967 1944 1973 1869 1945 1986 1935 1900 1864 1903 1958 1896 1893 1899 1905 2054 1964 1989 1911 2008 1897 1922 1942 1891 1953 1910 1896 2037 1940 1923 1831 1972 1845 1835 1966 2053 1938 1901 1755 1730 1881 1878 1926 1960 1908 1939 1896 1999 1820 1921 1906 1986 1933 1893 1984 1961 1947 1859 1877 1998 2019 1978 1922 1918 1949 1942 1889 1934 1874 1846 1911 1911 1917 1907 1914 1864 1880 1943 1909 1905 1903 1901 1922 1996 2021 1872 1931 1919 2013 1917 1939 1946 1878 1908 1973 1933 1930 1959 1905 1943 1862 1839 1895 1977 2003 1947 1920 1882 1844 1827 1882 1883 1956 1942 1951 2003 1904 1887 1895 1824
1931 1938 1983 1947 1926 1938 1943 1943 1913 1881 1863 1906 1909 1963 1890 1926 2010 1943 1907 1839 1963 1959 1848 1893 1858 1933 1954 1977 1966 1899 1889 1896 1949 1961 1938 1965 1970 1899 1965 1851 2015 1932 1945 1953 1890 1967 1806 1915 1877 1877 1961 1856 1891 2037 1952 1907 1900 1907 1935 2112 1661 1202 3127 2927 1199 0 0 0 2921 1456 0 4027 4026 2584 881 2867 1384 3636 1559 2779 4027 0 4027 0 2414 827 0 2132 0 2361 474 2998 1088 0 1546 1277 2607 2962 1541 2215 1719 2016 2119 1803 1899 1959 1647 1796 2056 1959 1948 1835 1977 1929 1967 1919 1915 1935 1711 1986 1832 1853 2063 1815 1921 1992 1874 1618 2002 2164 1957 2166 2112 2185 1817 1716 1870 1995 2004 1948 2078 1714 1926 2107 1860 1921 1791 1780 2181 1820 1984 1738 1959 1949 1917 1993 1509 2184 1855 1908 2092 1834 1994 1895 1874 1976 1959 1946 1922 1767 1899 1701 1997 2065 1727 1925 1224 1875 3146 0 0 4026 815 1203 0 0 4026 0 4027 4026 2264 0 1628 4026 1140 0 3053 615 0 2575 2331 4028 0 3042 0 2251 1927 1391 885 1486 2218 2282 2501 2385 2074 2120 1656 2047 1837 1861 1937 1605 2120 2060 1823 1914 1926 2066 1991 1876 2155 1838 2228 1975 2093 2159 1915 1673 1859 1849 1992 1693 1930 1946 1907 1998 1780 2002 1941 1820 1989 1865 1880 2073 1983 1918
2010 1891 1887 1916 1931 1997 1881 1975 1912 1931 1908 1969 1879 1945 1928 1983 1922 1916 1919 1957 1854 2025 1830 1821 1965 2016 1928 1998 1874 1878 1816 1950 1883 1945 1860 1883 2144 1985 1923 1771 2528 1645 2092 2130 4029 4029 2540 4002 0 0 0 4028 0 4026 2391 0 4027 0 4030 4029 0 4027 4028 0 4029 0 845 0 0 2481 1519 4020 0 0 0 2337 0 4027 1589 384 1391 1212 1745 2102 1893 2440 1598 2395 2075 2028 1958 2026 2165 1869 1658 1955 1908 1833 1768 2129 1933 1663 1921 1931 1851 1962 1978 2072 1879 1931 2034 1940 1905 1899 1939 1873 1927 1937 1914 1935 2024 1974 1811 1729 1966 1985 1986 1943 2034 1952 1829 1923 1843 1956 1856 2027 1910 1914 1891 2063 1906 1769 2357 1943 1762 1941 2410 1206 0 2723 4031 0 4030 0 4026 4031 0 0 4028 0 4031 4033 0 4027 4030 0 4028 4028 0 4023 4027 0 4027 4029 0 0 1738 339 1994 2230 1914 1955 175 1778 2068 1576 1452 2067 2073 1806 1602 2124 2219 1688 2290 2219 1939 1504 2061 1386 2414 1826 1845 1944 2086 1959 1844 2069 1859 2208 2028 1614 1790 2074 1842 1983 1758 2066 2013 1884 1708 2130 1688 1774 2044 1931 1919 2040 1958 1933 2071 1965 1903 1926 2015 1781 2090 1820 1951 1973 1951 1911 1981 1972 1901 1934 1763 1923 1939 2061 1960 1919 1994 2007 1877 1903
