1938 1994 1867 1965 1890 1930 1913 1788 1921 1926 1857 1957 1935 2009 1959 1975 1815 1928 1967 1970 1847 1999 1988 2031 1877 1912 1956 1910 1865 1947 1959 1913 1964 1888 1892 1899 1920 1825 1950 1974 1970 1996 1828 1992 1949 2069 1937 1901 1951 1899 1886 1972 1922 1856 1915 1919 1845 1863 2030 1861 1863 1881 1892 2044 2043 1961 1899 1897 1968 1852 1831 1996 1942 2051 1913 2100 1831 1932 1906 1902 1977 1822 1913 1939 1930 1963 1949 1930 1849 1839 1843 2011 1870 1901 1857 1852 1906 1999 2036 1873 1969 1907 1962 1847 1900 1829 1957 1858 1891 1876 1904 1995 2010 1871 1948 1912 1961 2036 1874 1883 1899 1916 1927 1967 1860 1929 1871 1931 1990 1873 2005 1906 1955 1901 1918 1889 1851 1951 1911 1913 1956 1918 2022 1807 1963 1888 1948 1921 1949 1918 1836 1941 2011 1983 2013 1827 1847 1956 1978 1979 1839 1906 1843 1925 2024 1914 1871 1954 1884 1913 1895 1929 1910 2023 1965 1922 1895 1885 1990 1999 1848 1847 1919 1878 2013 1935 1997 1919 1976 1941 1922 1999 1928 1845 1929 1938 1981 1952 1960 1803 1864 1857 1882 1933 2058 1899 1975 1853 1811 1892 1925 1991 1877 1990 1989 2011 1897 1854 1841 1914 1770 2088 1967 1957 1858 1946 2022 1967 1919 227 4027 0 0 4028 4028 4029 4029 4027 2223 1521 2304 0 4020 4029 4028 4029 0 24 0 3346 812 634 4032 4029 4029 0
612 780 2805 2275 450 2874 1699 1096 3236 1289 1749 2623 1322 2178 2255 1388 2309 1727 1706 2172 1882 1920 1996 1775 1861 1956 1783 2006 2035 1888 1915 1969 1976 1919 1826 1857 1961 1964 2036 1983 2060 1881 1995 1813 1882 1894 1949 1862 1965 2007 1869 1938 1874 1885 1946 2054 1856 1940 1921 2007 1908 1919 1924 1863 1954 1903 1937 1909 2065 1921 1838 1787 1950 1892 1899 1900 1965 1978 1844 1816 1900 1987 2055 1947 1967 2046 1911 1990 1987 1903 1985 1862 2117 1834 1952 1946 1922 1967 1999 1941 1769 1874 1870 1851 1932 1874 1996 1993 2006 1925 1905 1908 1959 1864 1948 1941 1961 1934 1875 1910 1971 1862 1914 1841 1868 2002 1926 2053 1853 1849 1823 1865 1902 1992 1881 1969 1826 1976 1769 1965 1692 1803 2123 1932 2144 2083 1977 2069 2056 1981 1879 2013 2037 2123 1719 2068 1976 2037 1746 1926 1979 1914 2004 1878 1931 2054 1905 2050 1849 1964 1984 1800 1880 2046 1881 1800 1788 2007 1889 1967 1851 1882 1954 1966 1883 2171 1849 2291 2231 2062 2034 1441 1923 2141 1766 2095 1693 1876 2025 1964 2066 1769 1786 2121 1949 1810 1900 1891 2171 1725 2039 2108 1675 2120 2330 1670 1829 2105 1967 1738 1739 1973 2107 1888 1769 1912 2095 1730 2039 2134 1502 1879 1907 2029 1774 1979 2120 2073 2154 1711 2113 2021 1629 2240 1606 1714 1914 1860 2101 2083 2247 1847 1719 2034 1881 1957
2012 1609 1815 2097 1995 2002 1631 1991 2243 1983 1761 1977 1996 1913 1907 1768 1978 2023 1787 2003 1973 1933 1958 1819 1915 2004 2040 1807 1792 1973 1862 1542 2286 4028 415 4025 1783 4028 0 2466 0 4027 4028 0 4027 4029 1450 0 4023 0 0 4027 0 0 4028 1869 4029 3303 1672 4029 2007 0 4027 0 2334 0 1071 2032 0 4025 4028 1950 4026 2077 416 4035 0 3003 3400 983 1396 3303 2619 286 2763 802 79 2036 0 622 3370 1294 3797 0 471 4029 4027 4025 2131 2356 1503 1577 4027 1012 4021 4028 0 1225 3470 2818 3747 4031 4027 0 4027 1334 0 1267 1638 4027 2703 0 0 3870 4031 0 0 4027 0 4030 0 4021 0 69 599 1711 864 2898 0 2026 1662 2507 1923 3014 1755 771 2070 2541 2241 2423 1605 1348 1733 2346 2023 842 2354 2105 1137 4026 3143 0 0 2015 3444 0 2055 1312 4026 1085 553 2974 2839 633 1008 1413 1173 1665 2213 2268 1256 2136 2127 2402 3549 2971 2433 2582 2046 1537 1752 1862 960 1811 1421 2063 1538 1912 2301 0 4028 4027 0 0 4030 694 4027 4030 2827 1467 3705 1945 1908 2274 1701 1450 1703 2156 1619 1618 1979 2020 2724 1551 1957 1886 1807 1938 1951 1951 1856 1915 2146 2041 2462 2791 1345 1991 2293 1651 1950 1914 2270 2149 1899 1857 2138 1751 3173 1187 2735 1288 1658 2249 2189 1942
1905 1998 1908 1929 1586 2017 1129 2302 1890 1974 1952 1867 1982 1907 1910 1885 1903 1886 2016 1442 1981 1460 1311 2056 1186 1501 2659 2615 2018 1965 1757 1952 1861 1956 1967 1883 1952 1993 1819 1970 1918 1888 1883 1885 2060 1911 2044 1947 1943 1867 1906 1930 1873 1875 1895 1946 1950 1938 1842 1927 1906 1917 1900 1973 1939 1878 1902 1822 1909 1937 1838 1826 1812 1961 1913 1857 1897 1914 1935 1944 1775 1952 2007 1903 1911 1982 1990 1890 1979 1931 1998 1817 1964 1909 1997 1897 1971 1920 1981 1990 1952 1894 1958 1832 1854 1919 1925 1926 1912 1902 1959 1920 1873 1980 1806 1961 1967 1842 1833 1961 1843 1956 1909 1924 2004 1907 1963 1943 1871 2059 2017 1862 1900 1940 1935 1903 1973 1843 1900 1972 1966 1985 1942 1830 2013 1925 1988 1950 1902 1935 1931 1889 1863 1980 1980 1832 1911 1871 1907 1919 1848 1941 1845 1988 1889 1823 2021 1923 1907 1949 1906 1986 1943 1921 1931 1881 1956 1870 1921 1967 1980 1989 1900 1811 1940 1901 1970 1946 1914 1964 1950 1923 1891 1958 1976 1970 1963 1932 1955 1932 1921 1882 1985 1929 2068 1992 1967 1783 1938 1930 1832 1790 1930 1935 1940 1906 1955 1839 1910 1994 1895 1826 2112 2026 1935 1966 1899 1938 1916 1859 1877 1963 1961 1961 1822 1911 1917 2001 1922 1921 1896 1853 2023 1898 1895 1926 1951 1999 1979 1881 1941 1947 1846 1852 2021 1913
1859 1919 1903 1955 1834 1940 1866 1886 1896 1920 1936 1934 1833 1915 2256 4028 4029 4028 4030 0 4032 0 4032 2710 0 4028 0 4028 0 0 0 1943 4029 0 2941 143 4025 81 1111 1292 1927 1024 1346 1396 1408 1995 2101 2043 1250 2379 1921 1583 2723 1739 2088 1871 2060 1889 1915 1911 1969 1809 1906 1901 2037 2019 1918 1903 1943 1955 2004 1839 1852 1859 1979 1910 1883 1847 1956 1905 1970 1933 2006 1967 1960 1891 1943 1896 1862 1905 2015 1925 1919 1955 1938 1907 1919 1903 1955 1914 1906 1835 1944 1856 1937 1930 1947 1895 1901 1930 2064 2051 1979 1884 1820 1865 1970 1966 1992 1818 1963 1983 1965 1906 1799 2010 1867 1860 1942 1905 2014 1940 1959 1935 1923 1974 1928 1920 2013 1752 1933 1828 1943 1947 1913 1939 1938 1922 1941 1940 1963 1907 1913 1920 1887 1915 1829 1885 1894 1895 1839 1855 1958 1919 1919 1919 1915 2035 1891 1988 1899 1963 1967 1856 1915 1982 1792 1907 1901 1944 1915 1827 1925 1900 1891 2018 1940 1931 1948 1903 1925 1858 1915 1963 1877 1876 1864 1947 1861 1958 1895 2047 1925 1778 1927 1865 1938 1919 1862 1900 1972 1970 1882 1820 1940 1979 1882 4 0 4030 4030 4027 4029 4032 4030 4025 0 0 0 0 0 4027 0 0 1396 0 4030 0 0 0 2530 4026 4034 0 0 1582 0 0 0 0 0 3227 4027 4030 705 0
4031 4031 4030 2792 4027 4028 0 4031 0 0 4032 1275 2281 3821 1812 0 4026 0 1222 1190 2927 0 466 4030 2177 0 0 0 0 4026 0 0 2791 4028 4029 1215 3582 2453 0 0 1421 0 4025 4024 0 0 3249 2819 0 0 4029 2279 4035 0 0 4029 0 3658 927 4030 2573 0 0 0 4018 2167 123 4024 0 0 0 4029 1671 4031 1539 3276 3579 1933 2745 3588 0 3234 439 2774 2172 2036 1269 3200 2053 1743 2392 2922 828 2168 2599 0 93 2529 2665 1359 0 0 2484 2781 3429 2370 75 1128 3157 0 1793 2517 2659 2730 2555 2265 2266 2755 297 1275 2180 2683 2529 2804 2602 1762 2193 1496 1900 2058 2202 2138 1210 1966 2067 1964 1255 3123 310 2307 2043 631 1958 1987 1753 1908 2010 1971 1865 1892 1922 2014 2003 1921 1848 1908 2023 1883 1919 1879 1933 1971 1867 1880 1922 1941 1913 1917 1910 2015 1887 1914 1915 2048 1966 1898 1903 1931 1981 1933 1867 1852 1982 1929 1937 1926 1923 2001 1958 1882 1946 1858 1856 1909 1935 1984 1915 1914 1996 1919 1933 1935 1795 1979 1965 2003 1862 1939 1855 1931 1928 1883 1938 1909 1942 2066 1984 1879 1807 1931 1966 1915 1906 1891 1829 1987 2001 1835 1881 1922 1903 1933 2041 2021 1944 1891 1962 1869 1859 1984 1967 1901 1824 1945 1870 1914 1917 1883 1995 1961 1935 1926 1815 1817 2006 1866
1928 1855 1826 2115 1846 1879 1963 1926 1832 1871 1872 1868 1979 1944 1824 1946 1899 2002 1967 1925 1844 1933 1939 1907 1929 1937 1603 1640 1959 1891 1834 1749 1939 1679 2223 2034 1860 2222 1741 2836 2063 1893 1960 1666 679 1332 1583 2282 2909 2611 1882 1762 1910 2181 2440 1763 1814 1907 2030 1679 1497 1732 2306 1425 1751 1706 1305 1654 2162 1487 1719 1675 2090 1471 2245 2245 2859 2718 1708 1279 1609 1306 1217 1705 2112 1942 1482 1501 2082 1694 2754 1172 1779 1885 2113 2525 784 3148 0 1624 32 1258 3361 4031 1415 688 0 1296 1306 4026 4025 1107 3228 921 2612 1871 1230 726 2164 2856 1901 1983 0 0 2702 1485 3439 2813 1162 3492 801 2688 1602 1717 902 2031 2635 1034 2990 934 1275 1744 791 1593 1806 1128 2618 2301 2763 694 864 2735 2563 1095 1224 1317 0 0 1899 890 2222 1978 963 2254 789 1349 1069 3586 1739 1092 1397 2929 2258 1474 1905 3503 2144 1874 1869 1929 1604 2130 2804 1950 1365 1519 2143 3267 1859 1387 2135 1791 1323 1919 2055 1708 2077 1880 1476 2417 2123 2312 2354 1701 1228 1733 2023 2025 2175 2112 1979 1982 1974 1862 1839 1754 1881 1863 1850 1753 2015 1996 1961 1901 1947 1965 1850 1848 1878 1920 1945 1984 1855 1925 1850 1828 1956 1907 1910 1839 1943 1956 1891 1935 1469 2494 2267 1647 1726 1807 2056 1338 1960 2058 2371 2510
1897 1987 1929 1948 1874 1942 1851 1952 1907 1937 1917 1900 1881 1983 1957 1972 1845 1959 1907 1930 2112 1859 1924 1801 1930 1946 1916 1992 1993 1954 2020 1877 1860 1851 1958 1866 1905 2004 1987 1879 1951 1937 1954 1962 1894 1896 1914 1897 2023 1962 1839 1948 2031 1984 1847 1881 1965 1899 2026 1893 1953 1921 1945 1947 1938 1955 1867 1943 1963 1944 1933 1852 1907 1879 2004 1917 1999 1867 1924 1818 1954 1950 1973 1920 1966 1974 1977 1977 2023 1944 1832 1907 1901 1887 1944 1909 1826 1923 1986 1978 1954 1889 2006 1911 2046 1957 1915 1943 1863 1824 1904 1866 1836 1910 1971 2012 1940 1951 1963 1812 1916 1941 1893 1847 1863 1922 1957 1936 1923 1905 1933 2018 1922 1885 1925 1919 1952 1897 1934 1892 1951 1934 1979 2007 1943 0 4028 2385 1100 1460 83 658 721 0 0 0 0 0 0 4026 2242 4030 0 582 2169 4029 318 1824 3319 3862 3019 3231 1463 2618 2490 0 798 624 861 0 4029 0 2568 3639 2189 1969 0 2984 2237 1769 1311 4029 1496 3074 2154 1980 1530 2211 871 2287 2784 1365 3663 3384 0 2151 167 4029 1390 61 2834 1452 688 2154 1702 1839 2905 2010 1398 321 1758 3411 2018 1598 1176 2671 1282 1696 929 1796 2402 1892 1255 1517 2482 2088 2482 2535 2209 2195 2087 1945 2145 2126 3013 1972 1903 1387 1720 788 1950 2343 1666 1757 1733 1657
2038 1816 1942 1947 1920 1677 2018 1823 1917 1935 1835 1858 1800 1296 2292 1409 2272 2021 2149 1955 1742 1863 1846 1998 1999 1986 1819 1909 2085 1752 2010 1987 1886 1982 1873 2805 765 2428 2092 1318 2349 1542 2363 1263 2355 1824 1943 1986 1740 2258 1690 2042 1931 2043 1866 1925 2057 1794 1958 1855 1824 1770 2035 1917 1781 1899 1917 2013 2041 2050 1986 2039 2033 1889 1839 1946 1875 1877 1875 1894 1960 1953 1935 1859 1980 1960 1970 1911 1945 1951 1995 1934 1895 1815 2009 2052 1931 1790 1771 1857 1876 1866 2073 1958 2032 1874 1912 2040 2043 1981 1935 1882 1986 1283 1723 2291 1823 1861 2061 2111 2063 2068 1963 2054 1967 1972 2010 1810 1769 1891 1948 1908 2003 2098 1884 1779 1690 1943 2038 2037 1898 1838 2100 1819 2072 1953 1874 2073 1682 1941 1790 1988 1768 2109 2121 1823 1943 1978 1921 1936 1962 2062 1955 1871 1972 1885 1901 1794 1898 1984 2015 1974 1826 1910 2067 2104 2018 2055 1975 2092 1991 1923 1907 1893 1923 2057 2040 2057 2049 1857 2033 1940 1919 1973 1864 1935 2054 2101 2114 1969 2041 1962 1983 1917 1862 1910 2009 1947 1960 1890 1957 1938 1953 1851 1295 0 1652 2270 1672 1525 1957 1942 2527 1255 1792 2031 1416 2149 1535 1951 1929 1964 1895 1981 2047 1848 2009 2037 1410 2238 1982 1789 1836 1928 2012 1899 1733 1903 1916 2031 2053 1903 1519 2158 1998 1967
1947 1962 1927 1724 2159 1895 2169 2017 1687 1698 1779 1987 2032 1947 2034 2037 1919 1833 1829 1894 2028 1679 1774 1864 1897 2011 2007 1969 1927 1795 2056 2059 1683 1739 2022 2027 1909 1929 1947 2083 2045 2011 1935 1788 1898 1860 1815 1931 2147 2295 1970 1865 1837 1910 1900 1810 2009 1987 1979 2008 1861 1906 1830 1895 1935 1914 1950 2040 1960 1920 1952 1999 1913 1847 2024 1910 2018 1944 1911 1969 1865 1993 1994 1979 1893 1899 1876 1959 1909 1909 1893 1907 1706 1735 1854 1766 1870 1842 1949 1907 2036 1861 1901 1923 2011 2003 1897 1866 1975 1985 2047 1898 1892 1866 1999 1903 1955 1740 1961 1921 1990 2027 2026 1877 1864 1743 1733 1752 1836 1839 1727 1920 1991 1702 1766 1898 1989 1949 2016 1979 1774 2164 1949 1770 1844 1999 1989 1951 1949 1899 1871 2053 1898 1843 1924 1992 2031 1967 1977 1893 1947 2034 1959 1774 1958 2056 1951 1981 1888 1862 2009 1973 1981 1941 1894 1953 1916 1851 1853 1984 1980 1807 2004 1813 1987 1880 1986 1712 1959 2063 1932 1909 1971 1935 1993 1922 1921 1919 2015 1799 2051 1961 2002 1933 1931 1873 1963 1950 1895 1891 1846 2050 1924 1825 1965 1978 1900 1924 1944 2011 1833 1894 1967 1970 1990 1963 1964 1991 1905 1874 2036 2131 1871 1696 1715 1950 1967 2106 2093 1946 1975 1898 1876 1909 1812 1847 2135 2047 1723 1769 1909 1938 1941 2031 1981 1917
1709 1855 1957 2085 1932 1980 1910 2013 1933 1965 1907 1914 1948 1886 2083 1881 1947 2046 2052 1914 2037 1972 1781 1884 2020 1852 1935 1920 1937 1988 1916 1935 1888 1891 1906 1893 2070 1964 1860 1858 1961 1897 1945 1896 2001 1925 2031 1839 1925 1912 1924 1975 1934 1896 1958 1883 1967 1882 1804 1988 1967 1885 1982 1324 0 4017 4031 4031 0 4030 0 4027 243 4037 0 4030 4031 632 4029 3321 1541 1281 2470 262 0 1246 786 4030 3136 421 4030 0 0 0 4030 0 4031 0 4032 3410 2903 4029 0 4033 0 4030 1122 0 3908 0 4031 0 2007 0 4031 0 0 0 4030 0 4029 3215 1162 825 905 3929 0 1221 2850 4031 0 2036 4032 4030 4030 1088 2354 2404 0 375 2187 3338 2125 4029 4034 0 4030 815 2049 1451 1889 1166 3587 0 1394 1748 631 1330 4035 2284 1489 1701 427 1382 2100 2925 3031 2232 992 2260 1946 1480 1950 1149 2548 2792 1815 0 1691 1595 1169 1775 1642 1257 2489 1867 1621 1775 2233 1920 2415 2741 1921 1918 406 1770 1467 2056 2403 2290 2029 1647 1871 1534 2081 1775 2361 2270 1544 2017 2260 1980 1470 1838 1944 1943 1912 1951 1976 2045 1921 1637 1898 2001 1886 1974 1903 2002 1883 1891 1911 1879 2722 1703 2627 1715 2155 2187 1901 1829 1802 1876 1959 1887 1914 1958 1907 1885 3633 2808 1328 1142 1497 2082 1915 1854
1975 1962 1990 1850 1963 1960 1983 1871 1850 1917 1954 1962 1916 1947 1919 1932 1907 1928 1987 1864 1945 1879 1799 1870 1956 2007 1963 1930 1916 1856 2011 2015 1939 2057 1958 1928 1979 2005 1894 1963 1864 1911 1852 1969 1999 1831 1946 1983 2095 1978 1911 1911 1922 1939 1863 1967 2053 1883 1967 1822 1847 2014 1967 1850 1873 1915 1997 1940 1957 1866 1907 1928 1835 2019 1947 1935 1999 2002 1925 1957 1935 1757 1972 1903 1903 1936 1998 1933 1851 2018 1975 2017 1916 2082 2015 1934 1839 1882 1890 1956 1854 1874 1980 2106 2047 1913 1885 1990 2031 1878 1868 1941 1992 2010 1893 1943 1896 1916 1909 1981 2002 1862 2004 2008 1957 1910 1876 1954 1957 1984 1967 1810 1906 1946 1938 1933 2003 1861 2007 1930 1946 1972 1933 1943 1711 1877 2021 1969 1882 1898 1988 1951 1915 1889 1905 1854 1940 1956 1961 1854 1918 1999 1956 1920 2007 1935 1931 1962 1931 1963 1919 1967 1839 1951 2063 2025 1881 2003 2043 1928 1842 2066 1934 1833 1925 2072 1893 1902 1935 1974 1855 1864 1857 1897 1965 1990 1941 1891 2009 2078 1845 1877 1950 1927 1915 1907 2086 1926 1975 1984 1940 1933 1899 1889 1990 1975 1991 1940 1919 1990 1986 1893 1895 1850 1965 2072 2071 1832 1856 1999 1973 1963 1824 1954 2044 2053 1975 1989 1969 1910 1901 1987 1813 1909 1931 1913 1825 2039 1932 1819 1802 1979 1924 1982 1940 1953
