x,y,z,class
0.03,0.46,0.54,pitch
0.2,-0.05,0.13,pitch
-0.16,0.98,0.8,pitch
0.09,-0.11,0.11,pitch
-0.26,1.17,0.72,pitch
0.19,-0.06,-0.16,pitch
-0.31,1.35,0.85,pitch
0.35,0.27,-0.08,pitch
-0.24,1.23,0.85,pitch
0.23,0.25,-0.03,pitch
-0.31,1.39,0.89,pitch
0.18,0.16,-0.26,pitch
-0.3,1.45,1.01,pitch
0.19,0.64,-0.23,pitch
-0.38,1.63,0.74,pitch
0.11,0.8,-0.13,pitch
-0.42,1.49,0.54,pitch
-0.08,1.06,0.33,pitch
-0.32,1.36,0.56,pitch
-0.18,1.15,0.58,pitch
-0.1,1.15,0.56,pitch
-0.07,1.33,0.66,pitch
-0.23,1.01,0.32,pitch
-0.13,1.21,0.73,pitch
0,0.66,0.28,pitch
-0.18,1.19,0.72,pitch
0.07,0.77,0.25,pitch
-0.11,1.23,0.71,pitch
-0.03,0.65,0.28,pitch
-0.17,1.16,0.71,pitch
0.09,0.7,0.22,pitch
-0.09,1.38,0.68,pitch
0.13,0.89,0.06,pitch
-0.15,1.51,0.96,pitch
0.13,0.64,-0.16,pitch
-0.24,1.24,1.03,pitch
0,0.56,0.04,pitch
-0.07,1.33,0.68,pitch
0.11,1.44,0.45,pitch
-0.06,0.89,0.68,pitch
0.09,1.28,0.72,pitch
-0.27,1.02,0.84,pitch
0.05,1.37,0.83,pitch
-0.08,0.52,0.18,pitch
0.11,1.51,0.89,pitch
0.05,0.58,-0.01,pitch
0.03,1.54,0.85,pitch
-0.04,0.68,0.08,pitch
0.08,1.6,0.74,pitch
-0.01,0.57,0.04,pitch
0.03,1.33,0.87,pitch
-0.01,0.35,-0.07,pitch
0.07,1.56,0.9,pitch
-0.02,-0.12,-0.57,pitch
0.04,1.8,1.07,pitch
0.03,0.05,-0.3,pitch
-0.04,1.77,1.08,pitch
-0.04,-0.19,-0.33,pitch
-0.08,1.73,1.05,pitch
0.01,-0.21,-0.48,pitch
-0.09,1.51,1.03,pitch
-0.11,0.09,0.02,pitch
-0.02,1.32,0.83,pitch
0.1,0.79,0.26,pitch
-0.09,1.3,0.77,pitch
0.14,1.14,0.68,pitch
0.01,0.88,0.29,pitch
0.24,1.42,0.65,pitch
0.03,0.75,0.07,pitch
0.23,1.47,0.66,pitch
0.1,0.52,-0.05,pitch
0.19,1.64,0.88,pitch
-0.06,-0.03,-0.25,pitch
0.18,1.49,1.04,pitch
-0.02,-0.03,-0.13,pitch
0.03,1.47,0.82,pitch
0.09,0.68,0.16,pitch
-0.05,0.58,0.39,pitch
0.24,1.3,0.93,pitch
-0.01,0.44,0.05,pitch
0.2,1.32,0.91,pitch
-0.04,0.08,-0.03,pitch
0.13,1.45,1.06,pitch
-0.1,0.02,-0.15,pitch
-0.06,0.94,0.78,pitch
0.21,0.93,0.54,pitch
0,0.59,0.44,pitch
0.19,1.42,1.08,pitch
-0.14,0,-0.13,pitch
-0.05,1.04,1.2,pitch
