x,y,z,class
0.08,-0.1,0.85,roll
0.2,-0.07,0.93,roll
0.05,-0.06,0.86,roll
-0.06,-0.03,0.93,roll
0.07,-0.04,0.86,roll
0.72,-0.01,0.58,roll
0.89,0.13,0.62,roll
-0.09,0.01,0.85,roll
-0.04,0.05,0.91,roll
1.03,0.03,0.62,roll
0.95,0.1,0.6,roll
0.09,-0.01,0.81,roll
0.37,0.01,0.83,roll
1.17,0.1,0.59,roll
0.45,0.01,0.7,roll
0.31,0.01,0.79,roll
0.96,0.17,0.58,roll
0.49,0.11,0.82,roll
0.32,0.01,0.82,roll
0.64,0.06,0.77,roll
1,0.15,0.61,roll
0.22,-0.03,0.7,roll
0.44,0.07,0.76,roll
1.26,0.11,0.43,roll
0.54,0.03,0.72,roll
0.14,0.06,0.76,roll
1.18,0.18,0.51,roll
0.57,0.03,0.7,roll
0.21,0,0.84,roll
1.13,0.22,0.59,roll
0.15,0.11,0.65,roll
0.98,0.01,0.52,roll
1.06,-0.09,0.35,roll
0.12,0.1,0.53,roll
1.03,-0.01,0.44,roll
0.24,0.12,0.74,roll
1.29,0.19,0.75,roll
0.31,0.06,0.7,roll
1.06,0.14,0.51,roll
0.46,-0.04,0.62,roll
0.69,-0.01,0.64,roll
1.05,0.05,0.57,roll
0.08,0.05,0.55,roll
1.19,0.1,0.58,roll
0.5,0.09,0.66,roll
0.61,0.05,0.65,roll
1.3,0.23,0.65,roll
0.07,0.04,0.49,roll
1.12,0.1,0.5,roll
0.54,0.1,0.61,roll
0.57,0.12,0.64,roll
1.11,0.17,0.54,roll
-0.03,0.08,0.45,roll
1.13,0.21,0.69,roll
0.55,0.06,0.64,roll
0.39,0.1,0.71,roll
1.08,0.28,0.75,roll
0.09,0.01,0.54,roll
1,0.17,0.65,roll
0.81,0,0.65,roll
0.39,0.07,0.6,roll
1.21,0.24,0.75,roll
0.2,0,0.52,roll
0.8,0.16,0.74,roll
0.44,0.07,0.59,roll
0.53,0.08,0.71,roll
0.87,0.11,0.66,roll
0.17,0.06,0.53,roll
1,0.27,0.8,roll
0.41,0.09,0.53,roll
0.85,0.11,0.52,roll
0.8,0.03,0.63,roll
0.49,0.11,0.67,roll
0.94,0.24,1.03,roll
0.29,0.08,0.64,roll
0.71,0.11,0.75,roll
0.49,0.1,0.57,roll
