x,y,z,class
-0.12,0.03,0.92,yaw
-0.03,-0.07,0.99,yaw
0.22,-0.22,0.87,yaw
-0.31,0.22,0.98,yaw
0.2,0.01,1.1,yaw
0.05,0.03,0.7,yaw
-0.05,0.07,0.88,yaw
0.31,-0.64,1.04,yaw
-0.21,0.1,0.82,yaw
0.07,-0.1,0.85,yaw
0.14,-0.47,0.93,yaw
-0.11,-0.15,0.9,yaw
-0.1,-0.46,0.73,yaw
-0.15,-0.14,1,yaw
-0.13,0.24,0.85,yaw
0.21,-0.66,1.03,yaw
-0.13,0.01,0.79,yaw
-0.03,-0.01,0.89,yaw
0.16,-0.58,1,yaw
-0.08,0.23,0.85,yaw
0.14,-0.38,0.91,yaw
-0.07,0.48,0.74,yaw
-0.09,0.28,0.85,yaw
0.31,-0.69,0.87,yaw
-0.16,-0.06,0.97,yaw
0.14,0.11,1.14,yaw
0.29,-0.59,0.79,yaw
-0.01,0.02,0.97,yaw
0.19,-0.63,1.03,yaw
-0.15,0.61,0.23,yaw
0.26,0.32,1.04,yaw
0.3,-0.69,0.81,yaw
-0.09,-0.05,1.08,yaw
0.09,-0.49,0.86,yaw
0.03,-0.18,0.72,yaw
-0.03,0.27,0.88,yaw
0.26,-0.84,0.92,yaw
-0.03,0.05,1.05,yaw
0.15,-0.43,0.88,yaw
0.09,-0.45,0.94,yaw
0.08,0.49,0.97,yaw
0.46,-0.8,1.18,yaw
-0.18,0.25,0.95,yaw
0.25,-0.63,0.81,yaw
0.28,-0.39,0.8,yaw
-0.08,0.35,0.85,yaw
0.39,-0.84,1.06,yaw
-0.39,0.09,1.12,yaw
0.24,-1.13,0.85,yaw
0.17,1.12,1.04,yaw
0.09,0.36,0.84,yaw
0.31,-0.48,1.1,yaw
-0.05,0.28,0.91,yaw
0.44,-0.94,0.94,yaw
-0.3,0.51,1.04,yaw
0.09,-0.18,0.81,yaw
0.3,-0.36,0.79,yaw
-0.11,0.33,0.88,yaw
0.37,-0.6,1.11,yaw
-0.19,0.48,0.94,yaw
0.16,-0.4,0.87,yaw
0.14,-0.1,0.77,yaw
0.01,0.54,0.83,yaw
0.37,-0.68,1.16,yaw
-0.1,-0.1,0.78,yaw
0.16,-0.63,0.9,yaw
-0.04,0.22,0.79,yaw
0.05,0.55,0.9,yaw
0.32,-0.53,1.26,yaw
-0.13,0.11,0.8,yaw
0.25,-1.02,0.83,yaw
-0.07,0.67,0.93,yaw
-0.08,0.41,0.88,yaw
0.32,-0.38,0.99,yaw
-0.17,0.07,0.92,yaw
0.32,-0.77,0.93,yaw
-0.26,0.44,0.93,yaw
-0.04,0.28,0.82,yaw
0.25,-0.42,0.99,yaw
-0.06,0.14,0.91,yaw
0.28,-0.9,1.06,yaw
-0.2,0.09,1.14,yaw
0.2,-0.53,0.77,yaw
-0.04,0.26,0.9,yaw
0.01,0.41,0.8,yaw
0.27,-0.55,1.11,yaw
-0.15,0.09,0.95,yaw
0.12,-0.18,0.87,yaw
0.08,-0.28,0.93,yaw
0.05,0.3,0.88,yaw
0.28,-0.55,1.16,yaw
-0.06,0.05,1,yaw
0,-0.12,0.77,yaw
0.33,-0.51,0.9,yaw
-0.1,0,0.94,yaw
0.32,-0.92,0.98,yaw
-0.12,0.59,1.08,yaw
-0.12,0.28,0.94,yaw
0.35,-0.71,0.92,yaw
-0.09,-0.13,0.96,yaw
0.33,-0.87,0.94,yaw
0.03,-0.34,0.66,yaw
0.01,-0.11,1.05,yaw
0.36,-0.81,1.03,yaw
-0.26,0.34,1.07,yaw
0.17,-0.25,0.73,yaw
0.2,-0.4,0.78,yaw
0.02,0.36,0.89,yaw
0.32,-0.76,1.09,yaw
-0.42,-0.12,1.08,yaw
0.31,-0.72,0.79,yaw
-0.12,-0.08,0.76,yaw
-0.06,0.22,0.82,yaw
0.08,-0.31,1.15,yaw
-0.12,-0.03,0.84,yaw
0.15,-0.92,1.08,yaw
-0.1,0.15,0.93,yaw
0.11,-0.08,0.77,yaw
0.06,-0.25,1,yaw
-0.1,0.16,1.06,yaw
0.13,-0.59,0.82,yaw
0.14,0.09,0.89,yaw
0.25,0.1,1.03,yaw
0.05,0.07,0.82,yaw
0.01,-0.06,0.92,yaw
-0.1,-0.06,0.84,yaw
0.01,-0.03,0.79,yaw
0.29,-0.11,0.94,yaw
0.24,-0.38,0.83,yaw
-0.41,0.2,0.93,yaw
0.07,-0.11,0.99,yaw
0.24,-0.2,0.93,yaw
-0.13,-0.67,0.81,yaw
-0.01,-0.11,1.01,yaw
0.32,-0.39,0.95,yaw
0.23,-0.38,0.77,yaw
0.07,-0.05,0.98,yaw
0.05,0.03,1.02,yaw
0.08,0.03,0.94,yaw
0.2,-0.49,0.81,yaw
0.08,0.16,0.91,yaw
-0.06,0.24,1.06,yaw
0.36,-0.33,0.93,yaw
0.27,-0.38,0.82,yaw
0.05,-0.03,0.86,yaw
-0.08,-0.01,1.04,yaw
0.19,-0.47,0.95,yaw
0.31,-0.42,0.74,yaw
0,0.14,1,yaw
-0.26,-0.08,1.09,yaw
0.16,-0.12,0.97,yaw
0.4,-0.39,0.74,yaw
0.1,-0.23,0.81,yaw
-0.13,-0.04,0.98,yaw
0.18,0.13,1.06,yaw
0.31,-0.32,1,yaw
0.13,-0.24,0.92,yaw
-0.09,0.11,0.93,yaw
-0.01,0.03,0.96,yaw
0.28,-0.32,1.03,yaw
0.35,-0.26,0.95,yaw
-0.13,0.21,0.98,yaw
0.29,-0.01,0.95,yaw
0.4,-0.41,0.92,yaw
0.13,-0.34,0.89,yaw
-0.09,-0.01,0.94,yaw
-0.09,0.05,1.02,yaw
0.32,-0.4,0.9,yaw
0.32,-0.39,0.8,yaw
-0.2,-0.06,0.9,yaw
0.48,-0.16,1.01,yaw
0.46,-0.53,0.94,yaw
0.23,-0.29,0.65,yaw
-0.03,0.05,0.87,yaw
0.21,-0.03,0.95,yaw
0.63,-0.61,0.82,yaw
0.07,-0.25,0.74,yaw
0.34,0.05,1.05,yaw
0.34,-0.27,0.95,yaw
0.54,-0.36,0.88,yaw
-0.04,0,0.75,yaw
0.04,0.06,1.01,yaw
0.42,-0.21,1.03,yaw
0.36,-0.41,0.82,yaw
-0.21,-0.11,0.86,yaw
0.21,0,0.84,yaw
0.5,-0.53,0.94,yaw
-0.05,0,0.78,yaw
0.08,0.19,0.94,yaw
0.31,-0.05,0.98,yaw
0.41,-0.4,0.83,yaw
-0.2,0.1,1.04,yaw
0.15,0.04,0.99,yaw
0.35,-0.45,0.92,yaw
0.13,-0.06,0.99,yaw
0.02,0.16,0.89,yaw
0.45,0.08,1.08,yaw
0.41,-0.47,0.76,yaw
0.01,0.21,0.89,yaw
0.11,0.14,0.99,yaw
